"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-05","81","50",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-06","86","52","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-07","95","52","55"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-08","71","53","54"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-09","72","50","58"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-10","86","51",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-11","93","61",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-12","89","58","64"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-13","95","63","69"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-14","101","66","72"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-15","100","61","66"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-16","96","59","69"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-17","97","60",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-18","105","65",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-19","95","66","66"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-20","98","60","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-21","82","61","67"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-22","86","62","65"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-23","92","59","67"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-24","98","59",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-25","85","64",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-26","90","61","64"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-27","99","63","67"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-28","98","63","65"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-29","91","64","65"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-30","92","65","68"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-07-31","92","68",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-01","95","66","69"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-02","93","58","63"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-03","90","60","61"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-04","90","59","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-05","89","62","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-06","91","62",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-07","96","62",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-08","90","60","65"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-09","91","57","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-11","92","61","61"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-12","97","61","73"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-13","94","57","60"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-14","93","60",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-15","80","55",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-16","96","58","65"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-17","86","58","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-18","93","56","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-19","99","61","67"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-20","88","62","64"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-21","90","56",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-22","95","58",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-23","99","67","72"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-24","91","52","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-25","84","52","60"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-26","92","55","61"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-27","97","61","65"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-28","98","57",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-29","95","61",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-30","95","63","71"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-08-31","91","54","59"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-01","82","52","54"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-02","90","51","54"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-03","73","44","45"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-04","81","43",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-05","94","53",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-06","98","55",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-07","80","43","45"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-08","87","45","62"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-09","89","55","56"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-10","91","50","51"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-11","79","51",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-12","84","42",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-13","88","46","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-14","92","52","53"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-15","95","53","53"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-16","88","51","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-17","90","51","53"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-18","86","53",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-19","70","43",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-20","98","55","57"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-21","94","49","50"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-22","81","48","50"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-23","75","48","54"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-24","80","46","50"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-25","80","47",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-26","90","49",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-27","91","47","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-28","91","49","49"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-29","93","49","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-09-30","84","47","48"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-01","80","47","49"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-02","80","49",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-03","72","40",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-04","86","44","46"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-05","85","46","49"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-06","83","49","54"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-07","71","51","51"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-08","86","51","59"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-09","74","51",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-10","66","42",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-11","57","47",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-12","70","39","42"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-13","70","39","51"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-14","79","38","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-15","82","41",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-16","69","42",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-17","79","38","43"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-18","62","43",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-19","73","38",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-20","75","39","45"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-21","76","40","45"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-22","58","45",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-23","64","42",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-24",,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-25","63","36","38"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-26","63","36","38"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-27","51","28","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-28","53","23","25"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-29","67","24","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-30","83","32",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-10-31","77","39",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-01","65","41","41"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-02","63","31","34"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-03","71","34","38"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-04","64","30","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-05","63","28","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-06","77","30",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-07","82","40",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-08","69","34","34"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-09","78","34","40"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-10","54","22","22"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-11","48","22",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-12","35","21","23"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-13","49","22",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-14","45","25",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-15","44","24","29"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-16","47","26","29"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-17","61","26","26"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-18","45","26","31"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-19","65","30","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-20","62","31",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-21","44","28",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-22","55","22","22"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-23","46","15","18"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-24","55","18","25"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-25","38","9",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-26","46","12","17"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-27","54","17",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-28","58","22",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-29","54","22","22"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-11-30","36","11","13"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-01","46","13","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-02","60","27","31"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-03","60","31","35"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-04","70","32",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-05","45","26",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-06","39","19","21"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-07","53","21","38"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-08","52","20","20"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-09","58","20","28"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-12-10","58","27","31"
